"title","published_date","description","tags","cover_image","url"
"The Extent of Flooding in the Hardest-Hit Areas of Europe","2021/07/17","紐時圖解歐洲用地圖圖解西歐百年洪水災情","","https://static01.nyt.com/images/2021/07/17/us/europe-flood-map-promo-1626498708852/europe-flood-map-promo-1626498708852-facebookJumbo.png","https://www.nytimes.com/interactive/2021/07/17/world/europe/europe-flood-map.html"
"How China’s largest freshwater lake was decimated by sand mining.","2021/07/19","路透報導近幾十年來中國挖砂船如何對鄱陽湖的影響","","https://graphics.reuters.com/GLOBAL-ENVIRONMENT/SAND-POYANG/qzjpqxxabvx/img/share-card.png","https://graphics.reuters.com/GLOBAL-ENVIRONMENT/SAND-POYANG/qzjpqxxabvx/index.html"
"Initium Lab （端傳媒實驗室）","2015至今","端傳媒子頻道，收錄自2015年以來，端傳媒的數位敘事作品。","","https://www.facebook.com/initiumlab/photos/a.2076832875876124/2252499564976120","https://theinitium.com/channel/interactive/"
"聯合報新媒體實驗室","2015至今","聯合報創新部門，力求透過新科技，探索嶄新的新聞敘事方式。","","https://www.facebook.com/udnNewMediaLab/photos/a.430623150431170/1305689422924534","https://udn.com/newmedia/office/"
"澎湃新聞專欄「美數課」","2017至今","中國澎湃新聞的資料新聞專欄，偶有數位敘事、動畫圖解等形式的新聞專題。","","https://5b0988e595225.cdn.sohucs.com/images/20181226/a55cc218af42411c8313959d7290a183.jpeg","https://www.thepaper.cn/list_25635"
