"title","description","type","url",""
"Flourish | Data Visualization & Storytelling","線上圖表製作網站","資料視覺化","https://flourish.studio/",""
"Tableau","線上圖表製作網站","資料視覺化","https://www.tableau.com/zh-tw",""
"R-ggplot2","資料探勘編程語言","資料視覺化","https://ggplot2.tidyverse.org/",""
"Datajournalism.com","資料新聞學推廣網站","資源網站","https://datajournalism.com/",""
"Datacamp ","資料新聞自學指引","資源網站","https://www.datacamp.com/community/blog/data-journalism-guide-tools",""
"Plotdb ","線上圖表製作網站","資料視覺化","https://plotdb.com/",""
"Data Man 的資料視覺化筆記
","Financial Times資料記者","個人粉專","https://www.facebook.com/imDataMan/?ref=ts&fref=ts",""
"林辰峰","Bloomberg資料視覺化工程師 ","個人粉專","https://www.facebook.com/jeremycflin",""
"Hacks/Hackers Taipei","台灣新媒體x科技人同好會","社群","https://www.facebook.com/groups/868771643258752",""
